english,hindi,link
Hill farming,पहाड़ी खेती,https://en.wikipedia.org/wiki/Hill_farming
Pulses,दाल,https://vikaspedia.in/agriculture/crop-production/package-of-practices/pulses/pulses-in-india
Lima beans,लाइमा बीन्स,https://en.wikipedia.org/wiki/Lima_beans
Weed control,खरपतवार नियंत्रण,https://en.wikipedia.org/wiki/Weed#Weed_control
Seeding,बोने,https://en.wikipedia.org/wiki/Agricultural_cycle#Seeding
Types of molluscs and description,मोलस्क के प्रकार और विवरण,https://www.britannica.com/topic/list-of-mollusks-2068994
Benefits and drawbacks of aeroponics,एरोपोनिक्स के लाभ और कमियां,https://en.wikipedia.org/wiki/Aeroponics#Benefits_and_drawbacks
India mustard,भारत सरसों,https://cftri.res.in/technologies/PSP/msi.pdf
Waterchestnut,सिंघाड़ा,"https://www.agrifarming.in/water-chestnut-cultivation-farming-practices#:~:text=Grown%20areas%20of%20Water%20Chestnut,Darbhanga%2C%20Madhubani%2C%20and%20Samastipur."
Seaweed farming,समुद्री शैवाल की खेती,https://en.wikipedia.org/wiki/Seaweed_farming
Tractor / Two-wheel tractor,ट्रैक्टर / दो पहिया ट्रैक्टर,https://en.wikipedia.org/wiki/Two-wheel_tractor
Techniques of hydroponics,हाइड्रोपोनिक्स की तकनीक,https://sensorex.com/blog/2019/10/29/hydroponic-systems-explained/
Cattle Hormone use,मवेशी हार्मोन का उपयोग,https://en.wikipedia.org/wiki/Dairy_cattle#Hormone_use
Rice,चावल,https://en.wikipedia.org/wiki/Rice_production_in_India
National Food Security Mission,राष्ट्रीय खाद्य सुरक्षा मिशन,https://en.wikipedia.org/w/index.php?title=National_Food_Security_Mission&action=edit&redlink=1
Fishing,मछली पकड़ने,https://en.wikipedia.org/wiki/Fishing
Tea Origin and history,चाय की उत्पत्ति और इतिहास,https://en.wikipedia.org/wiki/Tea#Origin_and_history
Prominent agricultural scientists,प्रमुख कृषि वैज्ञानिक,https://en.wikipedia.org/wiki/Outline_of_agriculture#Prominent_agricultural_scientists
Frozen water,जमा हुआ पानी,https://en.wikipedia.org/wiki/Water_resources#Frozen_water
Potato,आलू,https://en.wikipedia.org/wiki/Potato
Agronomy,कृषिविज्ञान,https://en.wikipedia.org/wiki/Agronomy
Organic farming Issues,जैविक खेती के मुद्दे,https://en.wikipedia.org/wiki/Organic_farming#Issues
Weed,चरस,https://en.wikipedia.org/wiki/Weed
Environmental effects of fertilizers,उर्वरकों के पर्यावरणीय प्रभाव,https://en.wikipedia.org/wiki/Fertilizer#Environmental_effects
Green gram / Mung bean,हरा चना / मूंग,"https://www.agrifarming.in/green-gram-cultivation#:~:text=Green%20Gram%20can%20be%20cultivated,loamy%20to%20sandy%20loam%20soil."
Rashtriya Krishi Vikas Yojana,राष्ट्रीय कृषि विकास योजना,https://en.wikipedia.org/wiki/Rashtriya_Krishi_Vikas_Yojana
Coir,जूट,https://en.wikipedia.org/wiki/Coir
Onion,प्याज,https://en.wikipedia.org/wiki/Onion
Chicken coop,मुर्गी का पिंजरा,https://en.wikipedia.org/wiki/Poultry_farming#Chicken_coop
Veterinary medicine,पशु चिकित्सा,https://en.wikipedia.org/wiki/Veterinary_medicine
Puffed rice,मुरमुरे,https://www.entrepreneurindia.co/Document/Download/Puffed%20Rice%20(Muri)%20Manufacturing%20Business-926590-.pdf
Periwinkle,एक प्रकार की वनस्पति,https://agritech.tnau.ac.in/horticulture/horti_medicinal%20crops_periwinkle.html
Cashmere Sources,कश्मीरी स्रोत,https://en.wikipedia.org/wiki/Cashmere_wool#Sources
Coastal ecosystems,तटीय पारिस्थितिकी तंत्र,https://en.wikipedia.org/wiki/Aquaculture#Coastal_ecosystems
Water frame,पानी फ्रेम,https://en.wikipedia.org/wiki/Water_frame
Biofuels and the environment,जैव ईंधन और पर्यावरण,https://en.wikipedia.org/wiki/Biofuel#Biofuels_and_the_environment
Animals-fishing techniques,पशु-मछली पकड़ने की तकनीक,https://en.wikipedia.org/wiki/Fishing_techniques#Animals
Animal husbandry Systems,पशुपालन प्रणाली,https://en.wikipedia.org/wiki/Animal_husbandry#Systems
Drone,मुफ़्तक़ोर,https://en.wikipedia.org/wiki/Drone_(bee)
Natural fibers,प्राकृतिक तंतु,https://en.wikipedia.org/wiki/Natural_fiber
Terrace Cultivation,छत की खेती,https://www.britannica.com/topic/terrace-cultivation
Betel-nut,सुपारी,https://vikaspedia.in/agriculture/crop-production/package-of-practices/plantation-crops/arecanut
Monsoon,मानसून,https://en.wikipedia.org/wiki/Monsoon
Seed drill,बीज ड्रिल,https://en.wikipedia.org/wiki/Seed_drill
Spinning jenny,स्पिनिंग जेनी,https://en.wikipedia.org/wiki/Spinning_jenny
Castor oil,अरंडी का तेल,https://www.agrifarming.in/castor-cultivation-information-guide
Almond,बादाम,https://en.wikipedia.org/wiki/Almond
Farm insurance,कृषि बीमा,https://vikaspedia.in/agriculture/agri-insurance/crop-insurance
Water resources,जल संसाधन,https://en.wikipedia.org/wiki/Water_resources
Capsicum,शिमला मिर्च,https://en.wikipedia.org/wiki/Capsicum
Cultipacker,कल्टीपैकर,https://en.wikipedia.org/wiki/Cultipacker
Brown Cardamom,बड़ी इलायची,https://vikaspedia.in/agriculture/crop-production/package-of-practices/spices/cardamom
Wagon,गाड़ी,https://en.wikipedia.org/wiki/Wagon
Hay fork,हे फोर्क,https://en.wikipedia.org/wiki/Pitchfork
Fish meal,मछली का भोजन,https://en.wikipedia.org/wiki/Fish_meal
Hemp Processing,गांजा प्रसंस्करण,https://en.wikipedia.org/wiki/Hemp#Processing
